OBJECTID,DIVISION,LOCATION,PREC,x,y
1,HARBOR,2175 JOHN S. GIBSON BLVD.,5,-118.2892294,33.75765607
2,SOUTHEAST,145 W. 108TH ST.,18,-118.275382,33.93862254
3,77TH STREET,7600 S. BROADWAY,12,-118.2776575,33.97030253
4,PACIFIC,12312 CULVER BLVD.,14,-118.4198294,33.99165048
5,SOUTHWEST,1546 MARTIN LUTHER KING JR. BLVD.,3,-118.3051294,34.01057049
6,NEWTON,3400 S. CENTRAL AVE.,13,-118.2561067,34.01235105
7,CENTRAL,251 E. 6TH ST.,1,-118.2472819,34.04401464
8,WEST LOS ANGELES,1663 BUTLER AVE.,8,-118.4507673,34.04377257
9,HOLLENBECK,2111 E. 1ST ST.,4,-118.2130558,34.04500391
10,WILSHIRE,4861 VENICE BLVD.,7,-118.3428173,34.04674283
11,OLYMPIC,1130 S. VERMONT AVE.,20,-118.2911637,34.05020368
12,RAMPART,1401 W. 6TH ST.,2,-118.2669675,34.05668558
13,HOLLYWOOD,1358 N. WILCOX AVE.,6,-118.3306571,34.09582837
14,NORTHEAST,3353 SAN FERNANDO RD.,11,-118.2494023,34.1191958
15,NORTH HOLLYWOOD,11640 BURBANK BLVD.,15,-118.3858471,34.17168907
16,VAN NUYS, 6240 SYLMAR AVE.,9,-118.4452135,34.18373841
17,WEST VALLEY,19020 VANOWEN ST.,10,-118.5474422,34.19339237
18,TOPANGA,21501 SCHOENBORN ST.,21,-118.5996243,34.2213718
19,FOOTHILL,12760 OSBORNE ST.,16,-118.410405,34.25308635
20,DEVONSHIRE,10250 ETIWANDA AVE.,17,-118.5313611,34.2569642
21,MISSION,11121 N. SEPULVEDA BLVD.,19,-118.4681856,34.27297453